price,spec_rating,Ram,ROM,display_size,resolution_width,resolution_height,warranty
199900,69.32352941,8,512,13.3,1600,2560,1
89999,62,8,256,13.3,1920,1080,1
260000,62,32,1024,14.1,2560,1600,1
45999,64,16,1024,15.6,1920,1080,1
106990,69,16,1024,16,1920,1200,3
221990,64,16,1024,14,1920,1200,1
146990,86,32,2048,16,2560,1600,1
52990,62,8,512,15.6,1920,1080,1
59990,69.32352941,8,512,14,2560,1440,1
52990,69.32352941,8,512,15.6,1920,1080,1
64490,69.32352941,16,512,15.6,1920,1080,1
78990,62,8,512,15.6,1920,1080,1
59900,69.32352941,8,512,15.6,1920,1080,1
55990,69.32352941,16,512,14,1920,1080,1
19990,69.32352941,4,256,15.6,1920,1080,1
47990,63,16,512,14,2160,1440,1
112990,72,16,512,13.3,1080,1920,1
101990,67,16,512,13.3,1080,1920,1
102990,71,16,512,13.3,1080,1920,1
33499,69.32352941,4,128,13.3,1920,1080,1
33999,69.32352941,8,512,15.6,1920,1080,1
215994,69.32352941,16,512,16.2,3456,2234,1
215994,69.32352941,16,1024,14.2,3024,1964,1
26500,69.32352941,4,1024,15.6,1920,1080,1
79990,65,16,512,15.6,2160,3456,1
68000,70,16,512,15.6,1920,1080,1
47925,60,8,512,15.6,1920,1080,1
59990,70,16,512,15.6,3200,2000,1
67800,69.32352941,8,512,14,1366,768,1
60490,69.32352941,8,128,15,2496,1664,1
72999,69.32352941,8,256,13.3,2560,1600,0
109999,69.32352941,8,512,13.3,2560,1600,0
87990,67,8,256,13.3,1920,1080,1
121900,69,16,512,15.6,3840,2160,0
136490,69.32352941,16,1024,15.6,3840,2160,1
143700,77,8,512,15.6,1920,1080,2
50490,69.32352941,16,512,15.6,1920,1080,1
71990,69.32352941,16,1024,15.6,1920,1080,1
136899,75,16,1024,15.6,1920,1080,1
62990,69,16,512,14,1920,1200,1
43990,69.32352941,8,512,14,1920,1080,1
33990,69.32352941,8,512,15.6,1920,1080,1
58990,65,16,1024,15.6,1920,1080,1
154990,71,16,1024,15.6,2560,1440,2
69990,64,16,1024,15.6,1920,1080,2
50000,69.32352941,8,512,14,1920,1080,3
36990,69.32352941,8,512,15.6,1920,1080,1
76500,66,16,512,15.6,1920,1080,1
33990,69.32352941,8,256,15.6,1920,1080,1
32990,69.32352941,8,512,15.6,1920,1080,1
103221,69,16,512,16,1920,1200,1
89990,71,16,512,16,1920,1200,1
56990,69,8,512,15.6,1920,1080,1
44980,69.32352941,16,512,14,1920,1080,1
23990,69.32352941,8,256,14,1920,1080,1
76990,63,16,512,15.6,1920,1080,1
26920,69.32352941,8,64,14,1080,1920,1
14490,69.32352941,4,256,14.1,1366,768,1
38990,69.32352941,8,512,15.6,1920,1080,1
52990,63,8,512,15.6,1920,1080,1
362999,88,32,1024,17.3,2560,1440,1
64990,65,16,512,15.6,1920,1080,1
62990,64,16,512,15.6,1920,1080,1
18990,69.32352941,8,256,11.6,1366,768,1
169999,78,16,512,16.1,2560,1600,1
189999,80,16,1024,16.1,2560,1600,1
298999,88,32,2048,16.1,2560,1600,1
99999,70,16,1024,14,2880,1800,1
267999,85,16,1024,17.3,2560,1440,1
108990,63,16,1024,16,2560,1600,3
